,Ind. 01,Ind. 02,Ind. 03,Ind. 04,Ind. 05,Ind. 06,Ind. 07,Ind. 08,Ind. 09,Ind. 10,Ind. 11,Ind. 12,Ind. 13,Ind. 14,Ind. 15,Ind. 16,Ind. 17,Ind. 18,Ind. 19,Ind. 20,Ind. 21,Ind. 22,Ind. 23,Ind. 24,Ind. 25
Ind. 01,0,129.19,136.31,379.71,423.8,256.98,340.83,165.89,130.03,233.06,392.01,487.16,172.19,238.53,324.23,405.1,341,351.65,392.75,336.81,381.18,234.06,227.4,351.52,345.07
Ind. 02,129.19,0,199.61,455.43,329.61,326,446.77,291.87,186.13,319.39,358.27,406,154.32,155.67,395.59,532.74,212.12,480.28,283.3,271.56,269.77,109.79,158.15,382.37,460.19
Ind. 03,136.31,199.61,0,256.96,376.22,128.23,255.93,165.32,265.48,350.22,285.63,418.55,105.72,208.87,445.81,386.24,389.76,374.39,482.6,265.32,363.92,305.41,343.05,215.67,419.5
Ind. 04,379.71,455.43,256.96,0,525.58,129.45,136.53,286.4,496.5,537.42,343.46,525.38,325.53,417.61,631.09,341.6,628.89,409.1,736.7,405.88,553.08,557.61,599.08,157.99,527.06
Ind. 05,423.8,329.61,376.22,525.58,0,430.59,598.43,538.54,515.06,645.63,204.38,90.01,273.27,185.27,725.07,760.14,272.47,748.21,430.43,121.07,92.66,316.95,441.88,374.99,768.05
Ind. 06,256.98,326,128.23,129.45,430.59,0,168.18,203.16,380.36,441.03,279.12,448.36,200.53,298.48,537.18,350.75,503.24,379.89,607.42,309.76,443.42,428.55,471.21,129.77,467.08
Ind. 07,340.83,446.77,255.93,136.53,598.43,168.18,0,200.26,434.48,444.2,441.83,615.57,353.31,456.33,532.17,205.88,645.43,275.96,728.1,477.78,606.65,555.99,568.17,268.08,404.24
Ind. 08,165.89,291.87,165.32,286.4,538.54,203.16,200.26,0,236.21,251.44,445.02,583.83,265.27,362.08,344.69,241.21,503.59,209.77,557,430.36,516.34,399.36,383.96,331.12,266.13
Ind. 09,130.03,186.13,265.48,496.5,515.06,380.36,434.48,236.21,0,135.35,514.42,588.55,293.03,335.39,210.3,443.2,362.14,357.53,358.02,445.88,454.96,249.48,173.57,481.11,294.49
Ind. 10,233.06,319.39,350.22,537.42,645.63,441.03,444.2,251.44,135.35,0,624.14,715.44,405.25,462.76,96.42,389.08,494.91,280.79,471.55,568.02,589.08,383.28,291.67,559.03,175.29
Ind. 11,392.01,358.27,285.63,343.46,204.38,279.12,441.83,445.02,514.42,624.14,0,183.02,221.45,215.74,716.25,629.48,415.25,646.67,565.31,114.59,267.35,405.88,510.07,185.69,705.02
Ind. 12,487.16,406,418.55,525.38,90.01,448.36,615.57,583.83,588.55,715.44,183.02,0,323.56,253.24,798.77,792.04,362.31,792.77,520.11,154.01,182.27,404.09,527.77,368.23,826.72
Ind. 13,172.19,154.32,105.72,325.53,273.27,200.53,353.31,265.27,293.03,405.25,221.45,323.56,0,104,495.82,491.9,303.4,474.95,418.4,169.85,258.41,239.3,312.44,230.34,503.56
Ind. 14,238.53,155.67,208.87,417.61,185.27,298.48,456.33,362.08,335.39,462.76,215.74,253.24,104,0,545.55,594,219.94,570.09,356.97,116.9,155.36,190.41,297.08,298.4,583
Ind. 15,324.23,395.59,445.81,631.09,725.07,537.18,532.17,344.69,210.3,96.42,716.25,798.77,495.82,545.55,0,452.28,549.44,335.36,499.51,654.66,662.15,442.65,333.77,655.42,196.96
Ind. 16,405.1,532.74,386.24,341.6,760.14,350.75,205.88,241.21,443.2,389.08,629.48,792.04,491.9,594,452.28,0,744.68,120.31,789.62,644.02,749.36,639.15,609.69,467.98,272.84
Ind. 17,341,212.12,389.76,628.89,272.47,503.24,645.43,503.59,362.14,494.91,415.25,362.31,303.4,219.94,549.44,744.68,0,690.36,158.15,300.99,180.07,113.32,219,518.16,655.01
Ind. 18,351.65,480.28,374.39,409.1,748.21,379.89,275.96,209.77,357.53,280.79,646.67,792.77,474.95,570.09,335.36,120.31,690.36,0,714.04,639.71,722.95,579.58,530.19,507.8,152.61
Ind. 19,392.75,283.3,482.6,736.7,430.43,607.42,728.1,557,358.02,471.55,565.31,520.11,418.4,356.97,499.51,789.62,158.15,714.04,0,452.73,337.85,179.61,184.46,646.25,645.18
Ind. 20,336.81,271.56,265.32,405.88,121.07,309.76,477.78,430.36,445.88,568.02,114.59,154.01,169.85,116.9,654.66,644.02,300.99,639.71,452.73,0,158.64,300.31,412.95,258.99,673.38
Ind. 21,381.18,269.77,363.92,553.08,92.66,443.42,606.65,516.34,454.96,589.08,267.35,182.27,258.41,155.36,662.15,749.36,180.07,722.95,337.85,158.64,0,235.24,361.35,414.06,725.1
Ind. 22,234.06,109.79,305.41,557.61,316.95,428.55,555.99,399.36,249.48,383.28,405.88,404.09,239.3,190.41,442.65,639.15,113.32,579.58,179.61,300.31,235.24,0,126.12,468.48,541.74
Ind. 23,227.4,158.15,343.05,599.08,441.88,471.21,568.17,383.96,173.57,291.67,510.07,527.77,312.44,297.08,333.77,609.69,219,530.19,184.46,412.95,361.35,126.12,0,539.05,462.93
Ind. 24,351.52,382.37,215.67,157.99,374.99,129.77,268.08,331.12,481.11,559.03,185.69,368.23,230.34,298.4,655.42,467.98,518.16,507.8,646.25,258.99,414.06,468.48,539.05,0,596.31
Ind. 25,345.07,460.19,419.5,527.06,768.05,467.08,404.24,266.13,294.49,175.29,705.02,826.72,503.56,583,196.96,272.84,655.01,152.61,645.18,673.38,725.1,541.74,462.93,596.31,0
